state,ex_parte_rate
North Carolina,0.99
Rhode Island,0.91
Arizona,0.9
Washington,0.89
Kentucky,0.85
District of Columbia,0.81
Connecticut,0.81
Louisiana,0.79
Illinois,0.76
Vermont,0.75
Maryland,0.74
California,0.74
Missouri,0.74
Tennessee,0.73
New Hampshire,0.73
Hawaii,0.72
Arkansas,0.7
Nevada,0.7
Indiana,0.69
Oregon,0.69
Georgia,0.67
South Carolina,0.65
Ohio,0.65
Alaska,0.65
Massachusetts,0.63
New Mexico,0.62
Michigan,0.57
Alabama,0.55
Minnesota,0.55
Nebraska,0.53
Wyoming,0.52
New York,0.52
Kansas,0.5
Iowa,0.49
Utah,0.49
New Jersey,0.48
Colorado,0.48
Montana,0.47
North Dakota,0.47
Idaho,0.47
Wisconsin,0.46
West Virginia,0.4
Florida,0.32
Mississippi,0.32
Oklahoma,0.31
Maine,0.31
South Dakota,0.29
Texas,0.26
Pennsylvania,0.07
Virginia,0.67
